date,time,appliedcurrent,voltage,Cl,TOC,A,B,C,D,activatedcarbon,tensilestrength,elongation,glossiness,Mside,Sside,Curl
06월 13일,11,1.3,4.91,,,609,763,"1,526",187,2.4,34.9,15.4,,1.18,0.25,8
06월 13일,14,1.3,4.97,16.1,233,358,716,716,187,2.4,34.2,13.5,50,1.2,0.33,9
06월 13일,17,1.3,4.99,,,358,716,"1,002",187,2.4,36.1,15.5,61,1.53,0.22,
06월 13일,20,1.3,5.07,,,358,716,"1,504",187,2.4,35.3,17.6,112,1.14,0.6,
06월 13일,23,1.3,5.05,19.9,248,358,716,"2,005",187,2.4,36.3,19.7,90,1.47,0.21,27
06월 14일,2,1.3,5.23,,,358,716,"1,002",187,2.4,40.8,8.6,13,1.88,0.22,9
06월 14일,5,1.3,5.24,,,358,716,"1,002",187,2.4,44.8,7.4,10,3.22,0.28,7
06월 14일,8,1.3,5.3,16.4,238,358,716,"1,504",187,2.4,,,,,,
06월 14일,11,1.3,5.46,,,358,"1,074","1,432",187,2.4,40.3,10.8,1,3.04,0.24,
06월 14일,14,1.3,5.57,18.9,240,358,"1,074","1,432",187,2.4,,,,,,
06월 14일,17,1.3,5.63,25.2,240,358,"1,074","1,432",187,2.4,,,,,,
06월 17일,20,,,,,,,,,2.4,,,,,,
06월 17일,23,,,12,203,,,,,2.4,,,,,,
06월 18일,2,,,,,,,,,2.4,,,,,,
06월 18일,5,,,,,,,,,2.4,,,,,,
06월 18일,8,,,,,,,,,2.4,,,,,,
06월 18일,11,,,,,,,,,2.4,,,,,,
06월 18일,14,1.3,3.93,10.9,198,358,"1,090","1,908",375,2.4,,,5,,,
06월 18일,17,1.3,4,11.3,195,358,"1,090","1,272",375,1.2,,,107,,,
06월 18일,20,1.3,4,,,358,"1,090","1,272",375,1.2,36.6,8.3,331,0.84,0.18,4
06월 18일,23,1.3,4.01,12.2,198,358,"1,090","1,272",375,1.2,35.8,6.1,298,0.89,0.22,4
06월 19일,2,1.3,4.04,,,358,"1,090","1,272",375,1.2,33,6.7,264,1.02,0.21,2
