nSheetID,strLotName,strGrade_Final,Endtime,time
538,20221022_101,A,2022-10-22 12:06,0:09
539,20221022_101,A,2022-10-22 12:07,0:43
540,20221022_101,A,2022-10-22 12:07,0:09
541,20221022_101,A,2022-10-22 12:08,0:30
542,20221022_101,A,2022-10-22 12:08,0:09
543,20221022_101,B,2022-10-22 12:09,0:44
544,20221022_101,A,2022-10-22 12:09,0:09
545,20221022_101,A,2022-10-22 12:11,2:30
546,20221022_101,A,2022-10-22 12:11,0:09
547,20221022_101,A,2022-10-22 12:12,0:45
548,20221022_101,A,2022-10-22 12:12,0:09
549,20221022_101,A,2022-10-22 12:13,1:03
550,20221022_101,A,2022-10-22 12:13,0:09
551,20221022_101,A,2022-10-22 12:15,1:13
552,20221022_101,B,2022-10-22 12:15,0:09
